Data,Hora,Origem,Payload,,
25/03/2025,21:31:03,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a1807240006c4a707a6b01500000000000000020800000000000000000007e90319150a1a1b484a0b0d0a,,
25/03/2025,21:31:03,S,+SACK:1b48$,,
25/03/2025,21:31:03,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a1d07240006c4a707a6b01500000000000000020800000000000000000007e90319150a1f1b49f74e0d0a,,
25/03/2025,21:31:03,S,+SACK:1b49$,,
25/03/2025,21:31:04,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a2207240006c4a707a6b01500000000000000020800000000000000000007e90319150a241b4ad1660d0a,,
25/03/2025,21:31:04,S,+SACK:1b4a$,,
25/03/2025,21:31:04,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a2707240006c4a707a6b01500000000000000020800000000000000000007e90319150a291b4bc5820d0a,,
25/03/2025,21:31:04,S,+SACK:1b4b$,,
25/03/2025,21:31:05,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000a2c07240006c4a707a6b01500000000000000020800000000000000000007e90319150a2e1b4c22b20d0a,,
25/03/2025,21:31:05,S,+SACK:1b4c$,,
25/03/2025,21:31:05,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a3107240006c4a707a6b01500000000000000020800000000000000000007e90319150a331b4df2800d0a,,
25/03/2025,21:31:05,S,+SACK:1b4d$,,
25/03/2025,21:31:06,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a3607240006c4a707a6b01500000000000000020800000000000000000007e90319150a381b4ead910d0a,,
25/03/2025,21:31:06,S,+SACK:1b4e$,,
25/03/2025,21:31:06,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b0000010021091001010000000000023bfcf2e861fe9c1d4e07e9031a000a3b07240006c4a707a6b01500000000000000020800000000000000000007e90319150b011b4fde970d0a,,
25/03/2025,21:31:06,S,+SACK:1b4f$,,
25/03/2025,21:31:07,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000b0407240006c4a707a6b01500000000000000020800000000000000000007e90319150b061b509a940d0a,,
25/03/2025,21:31:07,S,+SACK:1b50$,,
25/03/2025,21:31:07,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000b0907240006c4a707a6b01500000000000000020800000000000000000007e90319150b0b1b51a1bb0d0a,,
25/03/2025,21:31:07,S,+SACK:1b51$,,
25/03/2025,21:31:08,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000b0e07240006c4a707a6b01500000000000000020800000000000000000007e90319150b101b52bdc90d0a,,
25/03/2025,21:31:08,S,+SACK:1b52$,,
25/03/2025,21:31:08,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000b1307240006c4a707a6b01500000000000000020800000000000000000007e90319150b151b53fccd0d0a,,
25/03/2025,21:31:08,S,+SACK:1b53$,,
25/03/2025,21:31:09,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000b1807240006c4a707a6b01500000000000000020800000000000000000007e90319150b1a1b54b25c0d0a,,
25/03/2025,21:31:09,S,+SACK:1b54$,,
25/03/2025,21:31:09,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000b1d07240006c4a707a6b01500000000000000020800000000000000000007e90319150b1f1b5574ed0d0a,,
25/03/2025,21:31:09,S,+SACK:1b55$,,
25/03/2025,21:31:10,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000b2207240006c4a707a6b01500000000000000020800000000000000000007e90319150b241b5629310d0a,,
25/03/2025,21:31:10,S,+SACK:1b56$,,
25/03/2025,21:31:10,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000b2707240006c4a707a6b01500000000000000020800000000000000000007e90319150b291b573dd50d0a,,
25/03/2025,21:31:10,S,+SACK:1b57$,,
25/03/2025,21:31:11,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000b2c07240006c4a707a6b01500000000000000020800000000000000000007e90319150b2e1b5820190d0a,,
25/03/2025,21:31:11,S,+SACK:1b58$,,
25/03/2025,21:31:12,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000b3107240006c4a707a6b01500000000000000020800000000000000000007e90319150b331b59f02b0d0a,,
25/03/2025,21:31:12,S,+SACK:1b59$,,
25/03/2025,21:31:12,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000b3607240006c4a707a6b01500000000000000020800000000000000000007e90319150b381b5aaf3a0d0a,,
25/03/2025,21:31:12,S,+SACK:1b5a$,,
25/03/2025,21:31:13,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000b3b07240006c4a707a6b01500000000000000020800000000000000000007e90319150c011b5ba7a90d0a,,
25/03/2025,21:31:13,S,+SACK:1b5b$,,
25/03/2025,21:31:13,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c0407240006c4a707a6b01500000000000000020800000000000000000007e90319150c061b5cb0f90d0a,,
25/03/2025,21:31:13,S,+SACK:1b5c$,,
25/03/2025,21:31:14,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c0907240006c4a707a6b01500000000000000020800000000000000000007e90319150c0b1b5df0220d0a,,
25/03/2025,21:31:14,S,+SACK:1b5d$,,
25/03/2025,21:31:14,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c0e07240006c4a707a6b01500000000000000020800000000000000000007e90319150c101b5eec500d0a,,
25/03/2025,21:31:14,S,+SACK:1b5e$,,
25/03/2025,21:31:15,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c1307240006c4a707a6b01500000000000000020800000000000000000007e90319150c151b5fad540d0a,,
25/03/2025,21:31:15,S,+SACK:1b5f$,,
25/03/2025,21:31:15,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c1807240006c4a707a6b01500000000000000020800000000000000000007e90319150c1a1b602f6a0d0a,,
25/03/2025,21:31:15,S,+SACK:1b60$,,
25/03/2025,21:31:16,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c0000010021081001010000000000023bfcf2e861fe9c1d4e07e9031a000c1d07240006c4a707a6b01500000000000000020800000000000000000007e90319150c1f1b61dddf0d0a,,
25/03/2025,21:31:16,S,+SACK:1b61$,,
25/03/2025,21:31:16,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c2207240006c4a707a6b01500000000000000020800000000000000000007e90319150c241b62b4070d0a,,
25/03/2025,21:31:16,S,+SACK:1b62$,,
25/03/2025,21:31:17,D,2b4556543100fe7fbf006780200309020915564a5806025d6103392bdd000000000100210c02010100000000000240fcf2e873fe9c1d5007e9031a001f1107240006c4a707a6b01500000000000000020800000000000000000007e90319151f121c4d746d0d0a,,
25/03/2025,21:31:17,S,+SACK:1c4d$,,
25/03/2025,21:31:17,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c2707240006c4a707a6b01500000000000000020800000000000000000007e90319150c291b63a0e30d0a,,
25/03/2025,21:31:17,S,+SACK:1b63$,,
25/03/2025,21:31:39,D,2b484244ef2280200309020915564a5806025d610307e90319151f271c4ecf5a0d0a,,
25/03/2025,21:31:39,S,+SACK:GTHBD,8020030902,1c4e$
25/03/2025,21:31:40,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c2707240006c4a707a6b01500000000000000020800000000000000000007e90319150c291b63a0e30d0a,,
25/03/2025,21:31:40,S,+SACK:1b63$,,
25/03/2025,21:31:40,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c2c07240006c4a707a6b01500000000000000020800000000000000000007e90319150c2e1b643c270d0a,,
25/03/2025,21:31:40,S,+SACK:1b64$,,
25/03/2025,21:31:41,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c3107240006c4a707a6b01500000000000000020800000000000000000007e90319150c331b6597e10d0a,,
25/03/2025,21:31:41,S,+SACK:1b65$,,
25/03/2025,21:31:41,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c3607240006c4a707a6b01500000000000000020800000000000000000007e90319150c381b66c8f00d0a,,
25/03/2025,21:31:41,S,+SACK:1b66$,,
25/03/2025,21:31:42,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000c3b07240006c4a707a6b01500000000000000020800000000000000000007e90319150d011b67e7fa0d0a,,
25/03/2025,21:31:42,S,+SACK:1b67$,,
25/03/2025,21:31:42,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d0407240006c4a707a6b01500000000000000020800000000000000000007e90319150d061b6896300d0a,,
25/03/2025,21:31:42,S,+SACK:1b68$,,
25/03/2025,21:31:43,D,2b4253500700fe2fbf006380200309020915564a5806025d61032c00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d0907240006c4a707a6b01500000000000000020800000000000000000007e90319150d0b1b69d6eb0d0a,,
25/03/2025,21:31:43,S,+SACK:1b69$,,
25/03/2025,21:31:43,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d0e07240006c4a707a6b01500000000000000020800000000000000000007e90319150d101b6aaa800d0a,,
25/03/2025,21:31:43,S,+SACK:1b6a$,,
25/03/2025,21:31:44,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000d1307240006c4a707a6b01500000000000000020800000000000000000007e90319150d151b6b90700d0a,,
25/03/2025,21:31:44,S,+SACK:1b6b$,,
25/03/2025,21:31:44,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000d1807240006c4a707a6b01500000000000000020800000000000000000007e90319150d1a1b6ca5150d0a,,
25/03/2025,21:31:44,S,+SACK:1b6c$,,
25/03/2025,21:31:45,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d1d07240006c4a707a6b01500000000000000020800000000000000000007e90319150d1f1b6d63a40d0a,,
25/03/2025,21:31:45,S,+SACK:1b6d$,,
25/03/2025,21:31:45,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d2207240006c4a707a6b01500000000000000020800000000000000000007e90319150d241b6e458c0d0a,,
25/03/2025,21:31:45,S,+SACK:1b6e$,,
25/03/2025,21:31:46,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d2707240006c4a707a6b01500000000000000020800000000000000000007e90319150d291b6f51680d0a,,
25/03/2025,21:31:46,S,+SACK:1b6f$,,
25/03/2025,21:31:46,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d2c07240006c4a707a6b01500000000000000020800000000000000000007e90319150d2e1b705e950d0a,,
25/03/2025,21:31:46,S,+SACK:1b70$,,
25/03/2025,21:31:47,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d3107240006c4a707a6b01500000000000000020800000000000000000007e90319150d331b71f5530d0a,,
25/03/2025,21:31:47,S,+SACK:1b71$,,
25/03/2025,21:31:47,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d3607240006c4a707a6b01500000000000000020800000000000000000007e90319150d381b72aa420d0a,,
25/03/2025,21:31:47,S,+SACK:1b72$,,
25/03/2025,21:31:48,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000d3b07240006c4a707a6b01500000000000000020800000000000000000007e90319150e011b7418c70d0a,,
25/03/2025,21:31:48,S,+SACK:1b74$,,
25/03/2025,21:31:48,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a000e0407240006c4a707a6b01500000000000000020800000000000000000007e90319150e061b75be630d0a,,
25/03/2025,21:31:48,S,+SACK:1b75$,,
25/03/2025,21:31:49,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000e0907240006c4a707a6b01500000000000000020800000000000000000007e90319150e0b1b76a50e0d0a,,
25/03/2025,21:31:49,S,+SACK:1b76$,,
25/03/2025,21:31:49,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000e0e07240006c4a707a6b01500000000000000020800000000000000000007e90319150e101b77993e0d0a,,
25/03/2025,21:31:49,S,+SACK:1b77$,,
25/03/2025,21:31:50,D,2b4253500700fe2fbf006380200309020915564a5806025d61032d00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000e1307240006c4a707a6b01500000000000000020800000000000000000007e90319150e151b7929d50d0a,,
25/03/2025,21:31:50,S,+SACK:1b79$,,
